stimuli,mos,mos_pred,model
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/100.wav,1.5,4.054737567901611,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/102.wav,3.0,4.173500061035156,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/104.wav,5.0,4.453343868255615,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/105.wav,3.0,4.3809685707092285,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/107.wav,2.0,4.522665500640869,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/108.wav,2.0,4.611301898956299,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/109.wav,1.0,4.371580600738525,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/110.wav,4.0,4.176795482635498,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/111.wav,2.0,4.408464431762695,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/112.wav,3.0,4.344051837921143,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/113.wav,3.0,4.035362243652344,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/114.wav,1.0,4.642636775970459,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/115.wav,1.0,4.346498966217041,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/116.wav,1.0,4.575164318084717,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/117.wav,3.0,4.121958255767822,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/118.wav,4.0,4.188204288482666,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/119.wav,3.0,4.818239212036133,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/121.wav,4.0,4.3539533615112305,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/125.wav,3.5,4.1520819664001465,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/127.wav,1.5,4.525280475616455,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/128.wav,2.0,4.170537948608398,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/129.wav,3.5,4.172875881195068,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/134.wav,3.0,4.898627281188965,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/135.wav,3.0,4.911929607391357,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/136.wav,2.0,4.220813274383545,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/137.wav,1.0,3.7065539360046387,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/138.wav,3.0,4.679000377655029,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/139.wav,5.0,4.410847187042236,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/140.wav,1.0,4.838771343231201,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/141.wav,3.0,4.430325984954834,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/142.wav,2.0,3.412947416305542,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/144.wav,3.0,4.443803310394287,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/145.wav,2.0,4.974190711975098,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/146.wav,2.0,4.192887783050537,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/147.wav,1.0,4.618875980377197,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/148.wav,2.0,4.234577655792236,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/149.wav,2.0,4.157668590545654,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/150.wav,1.0,3.9688069820404053,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/151.wav,3.0,4.5737481117248535,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/152.wav,2.0,4.151494026184082,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/153.wav,3.0,4.377083778381348,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/154.wav,3.0,4.486571788787842,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/158.wav,5.0,4.0594563484191895,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/159.wav,4.0,4.285581111907959,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/160.wav,1.5,4.508902072906494,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/163.wav,5.0,3.4179484844207764,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/164.wav,3.0,3.6402714252471924,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/165.wav,4.0,4.843959331512451,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/166.wav,2.5,4.881402492523193,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/167.wav,2.0,4.800173759460449,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/168.wav,2.0,3.814560651779175,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/169.wav,2.0,4.357283115386963,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/170.wav,5.0,4.848830699920654,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/171.wav,2.0,4.694438457489014,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/172.wav,3.0,4.066813945770264,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/174.wav,1.0,4.3947272300720215,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/175.wav,5.0,4.7999396324157715,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/176.wav,2.0,4.643918037414551,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/177.wav,3.0,4.297183513641357,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/179.wav,4.0,4.302801609039307,NISQAv2_mos_only
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/180.wav,4.0,4.596230983734131,NISQAv2_mos_only
