stimuli,mos,mos_pred,model
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/100.wav,1.5,3.2934787273406982,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/102.wav,3.0,3.264029026031494,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/104.wav,5.0,3.0667474269866943,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/105.wav,3.0,2.4726476669311523,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/107.wav,2.0,2.394320487976074,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/108.wav,2.0,3.178231954574585,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/109.wav,1.0,2.473310708999634,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/110.wav,4.0,3.015746831893921,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/111.wav,2.0,2.6299402713775635,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/112.wav,3.0,2.65698504447937,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/113.wav,3.0,3.230412244796753,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/114.wav,1.0,3.0210554599761963,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/115.wav,1.0,2.7406105995178223,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/116.wav,1.0,2.7879369258880615,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/117.wav,3.0,2.5967538356781006,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/118.wav,4.0,3.3704707622528076,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/119.wav,3.0,3.110504150390625,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/121.wav,4.0,2.7094547748565674,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/125.wav,3.5,3.024768590927124,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/127.wav,1.5,2.7279298305511475,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/128.wav,2.0,2.7298309803009033,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/129.wav,3.5,3.0299105644226074,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/134.wav,3.0,3.219520330429077,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/135.wav,3.0,2.753175973892212,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/136.wav,2.0,2.936338186264038,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/137.wav,1.0,2.8636043071746826,NISQA_TTS_v1
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A6/138.wav,3.0,3.0931146144866943,NISQA_TTS_v1
